max_depth	min_split	cp	minbucket	ganancia_promedio
8	50	2	37	0
8	50	-1.5	25	44450000
8	50	-1	25	44450000
8	50	-0.5	25	44450000
8	50	0	25	41934000
8	50	0.5	25	0
8	50	1	25	0
8	50	1.5	25	0
8	50	2	25	0
8	50	-1.5	12	46632000
8	50	-1	12	46632000
8	50	-0.5	12	46632000
8	50	0	12	40272000
8	50	0.5	12	0
8	50	1	12	0
8	50	1.5	12	0
8	50	2	12	0
8	50	-1.5	10	48230000
8	50	-1	10	48230000
8	50	-0.5	10	48230000
8	50	0	10	40162000
8	50	0.5	10	0
8	50	1	10	0
8	50	1.5	10	0
8	50	2	10	0
8	20	-1.5	16	45784000
8	20	-1	16	45784000
8	20	-0.5	16	45784000
8	20	0	16	44764000
8	20	0.5	16	0
8	20	1	16	0
8	20	1.5	16	0
8	20	2	16	0
8	20	-1.5	15	45868000
8	20	-1	15	45868000
8	20	-0.5	15	45868000
8	20	0	15	44636000
8	20	0.5	15	0
8	20	1	15	0
8	20	1.5	15	0
8	20	2	15	0
8	20	-1.5	10	46928000
8	20	-1	10	46928000
8	20	-0.5	10	46928000
8	20	0	10	44788000
8	20	0.5	10	0
8	20	1	10	0
8	20	1.5	10	0
8	20	2	10	0
8	20	-1.5	5	46298000
8	20	-1	5	46298000
8	20	-0.5	5	46298000
8	20	0	5	43826000
8	20	0.5	5	0
8	20	1	5	0
8	20	1.5	5	0
8	20	2	5	0
8	20	-1.5	4	46182000
8	20	-1	4	46182000
8	20	-0.5	4	46182000
8	20	0	4	43826000
8	20	0.5	4	0
8	20	1	4	0
8	20	1.5	4	0
8	20	2	4	0
8	10	-1.5	8	46708000
8	10	-1	8	46708000
8	10	-0.5	8	46708000
8	10	0	8	46554000
8	10	0.5	8	0
8	10	1	8	0
8	10	1.5	8	0
8	10	2	8	0
8	10	-1.5	7	45986000
8	10	-1	7	45986000
8	10	-0.5	7	45986000
8	10	0	7	46204000
8	10	0.5	7	0
8	10	1	7	0
8	10	1.5	7	0
8	10	2	7	0
8	10	-1.5	5	45498000
8	10	-1	5	45498000
8	10	-0.5	5	45498000
8	10	0	5	45580000
8	10	0.5	5	0
8	10	1	5	0
8	10	1.5	5	0
8	10	2	5	0
8	10	-1.5	2	45484000
8	10	-1	2	45484000
8	10	-0.5	2	45484000
8	10	0	2	43710000
8	10	0.5	2	0
8	10	1	2	0
8	10	1.5	2	0
8	10	2	2	0
10	1000	-1.5	800	49886000
10	1000	-1	800	49886000
10	1000	-0.5	800	49886000
10	1000	0	800	0
10	1000	0.5	800	0
10	1000	1	800	0
10	1000	1.5	800	0
10	1000	2	800	0
10	1000	-1.5	750	49908000
10	1000	-1	750	49908000
10	1000	-0.5	750	49908000
10	1000	0	750	0
10	1000	0.5	750	0
10	1000	1	750	0
10	1000	1.5	750	0
10	1000	2	750	0
10	1000	-1.5	500	47854000
10	1000	-1	500	47854000
10	1000	-0.5	500	47854000
10	1000	0	500	0
10	1000	0.5	500	0
10	1000	1	500	0
10	1000	1.5	500	0
10	1000	2	500	0
10	1000	-1.5	250	47362000
10	1000	-1	250	47362000
10	1000	-0.5	250	47362000
10	1000	0	250	0
10	1000	0.5	250	0
10	1000	1	250	0
